"Fighter-S History - Karnov-S.zip","FIGHTER-S HISTORY - KARNOV-S","FIGHTER-S HISTORY - KARNOV-S","fbneo",
"Final Fight.zip","FINAL FIGHT","FINAL FIGHT","fbneo",
"Finalb.zip","FINAL BLOW (WORLD)","FINAL BLOW (WORLD)","fbneo",
"Fireone.zip","FIREONE","FIREONE","fbneo",
"Fireshrk.zip","FIRE SHARK","FIRE SHARK","fbneo",
"Firetpbl.zip","FIRETPBL","FIRETPBL","fbneo",
"Firetrap.zip","FIRE TRAP (US, REV A)","FIRE TRAP (US, REV A)","fbneo",
"Fitegolf.zip","LEE TREVINO'S FIGHTING GOLF (WORLD)","LEE TREVINO'S FIGHTING GOLF (WORLD)","fbneo",
"Fitfight.zip","FITFIGHT","FITFIGHT","fbneo",
"Flicky.zip","FLICKY (128K VERSION, 315-5051)","FLICKY (128K VERSION, 315-5051)","fbneo",
"Flipshot.zip","BATTLE FLIP SHOT","BATTLE FLIP SHOT","fbneo",
"Flyboy.zip","FLY-BOY","FLY-BOY","fbneo",
"Foodf.zip","FOOD FIGHT (REV 3)","FOOD FIGHT (REV 3)","fbneo",
"Football Frenzy.zip","FOOTBALL FRENZY","FOOTBALL FRENZY","fbneo",
"Footchmp.zip","FOOTBALL CHAMP (WORLD)","FOOTBALL CHAMP (WORLD)","fbneo",
"Forgotten Worlds.zip","FORGOTTEN WORLDS","FORGOTTEN WORLDS","fbneo",
"Fredmem.zip","FREDMEM","FREDMEM","fbneo",
"Freeze.zip","FREEZE","FREEZE","fbneo",
"Frenzy.zip","FRENZY (REVISION RA1)","FRENZY (REVISION RA1)","fbneo",
"Frenzy1.zip","FRENZY1","FRENZY1","fbneo",
"Friskyt.zip","FRISKY TOM (SET 1)","FRISKY TOM (SET 1)","fbneo",
"Frogger.zip","FROGGER","FROGGER","fbneo",
"Frogger2.zip","FROGGER2","FROGGER2","fbneo",
"Froggers.zip","FROG","FROG","fbneo",
"Frogsega.zip","FROGSEGA","FROGSEGA","fbneo",
"Frontlin.zip","FRONT LINE (SET 1)","FRONT LINE (SET 1)","fbneo",
"Fround.zip","THE FINAL ROUND (VER. M)","THE FINAL ROUND (VER. M)","fbneo",
